['Total','Land','Water']
['468.484', '302.643', '165.841']
['502.76', '468.74', '34.02']
['234.14', '227.34', '6.80']
['637.4', '599.59', '1,062']
['518.90', '517.64', '1.25']
['142.70', '134.28', '8.42']
['465.4', '4.5', '198']
['385.8', '340.5', '45.3']
['305.1', '297.9', '7.2']
['361', '447']
['223.11', '217.17', '5.94']
['231.89', '46.89', '185.00']
['53,819', '186']
['36,418', '140', '270']
['71,362', '360', '240']
['104,094', '280', '380']
['68.34', '61.05', '7.29']
['183', '108']
['142.89', '138.72', '4.17']
['525.94', '504.03', '21.91']
['145', '133', '15.2']
['324.0', '315.1', '9.0']
['69,899', '230', '465']
['322', '492']
['40,408', '170', '379']
['12,407', '196', '119']
['498.37', '260', '311']
['121,700', '344', '371']
['114.70', '114.42', '0.28']
['100.11', '97.92', '2.18']
['59,425', '230', '298']
['69,715', '240', '300']
['56.06', '35.99', '20.08']
['141.81', '138.21', '3.60']
['51.48', '50.32', '1.16']
['774.2', '200', '430']
['57.49', '54.00', '3.49']
['196.8', '192.7', '4.2']
['175.22', '113.42', '61.80']
['069.13', '130', '379']
[]
['151.20', '149.73', '1.47']
['50.93', '50.32', '0.60']
['10,931', '1,522']
['81.54', '81.23', '0.31']
['285.5', '284.5', '1.0']
['107.7', '107.7', '0.0']
['61.9', '4.1', '923.6']
['58.34', '55.38', '2.97']
['962.61', '706.61', '256.00']
['71.6', '71.6', '0.1']
['113.75', '105.22', '8.53']
['26.107', '24.187', '1.920']
['84.12', '80.69', '3.43']
['52.09', '49.63', '2.46']
['21.080', '14.794', '6.286']
['102.6', '101.1', '1.5']
['65.04', '64.94', '0.10']
['123.6', '122.41', '1.14']
['105.9', '103.0', '2.9']
['68.20', '68.00', '0.20']
['101.4', '101.4', '0.04']
['350.95', '338.51', '12.44']
['67.7', '67.9', '0.4']
['87.62', '77.47', '10.15']
['83,797', '305', '479']
['88.12', '85.93', '2.19']
['90.65', '88.92', '1.73']
['62.42', '49.72', '12.70']
['44.81', '42.97', '1.84']
['52.81', '52.76', '0.05']
['52,419', '190', '330']
['147.7', '145.9', '1.9']
['37.14', '35.78', '1.36']
['32.12', '26.94', '5.19']
['84,899', '270', '350']
['90.3', '89.8', '0.5']
['45.77', '44.89', '0.88']
['62.37', '62.03', '0.34']
['53,180', '270', '240']
['306.5', '302.1', '4.3']
['81.091', '72.105', '8.986']
['103.63', '100.42', '3.21']
['40.23', '39.97', '0.26']
['180.06', '139.40', '40.66']
['122.35', '107.14', '15.21']
['104.2', '98.5', '5.6']
['84.867', '81.528', '3.339']
['36.31', '34.62', '1.69']
['210', '380']
['144.6', '137.1', '7.4']
[]
['40.00', '39.99', '0.01']
['42.18', '41.25', '0.92']
['42.24', '42.20', '0.05']
['34.97', '33.03', '1.94']
['43.74', '43.72', '0.02']
['59.42', '58.33', '1.09']
['57.05', '55.82', '1.23']
['48,430', '170', '340']
['63.82', '45.54', '18.29']
['44.05', '42.87', '1.18']
['106.21', '105.97', '0.24']
['33.1', '31.9', '1.2']
['44.5', '44.2', '0.4']
['255.13', '249.96', '0.5']
['22.96', '22.95', '0.01']
['54.2', '53.6', '0.7']
['65.09', '64.43', '0.66']
['64.48', '63.47', '1.01']
['8.704', '8.428', '0.276']
['19.4', '16.0', '3.4']
['48.6', '48.3', '0.3']
['25.61', '25.05', '0.56']
['23.13', '22.98', '0.15']
['31.28', '29.38', '1.90']
['22.44', '22.43', '0.01']
['25.80', '25.36', '0.44']
['42.99', '42.99', '0.00']
['95.5', '84.2', '11.3']
['37.1', '36.3', '0.8']
['127.5', '109.0', '18.5']
['34.43', '34.36', '0.07']
['63.49', '62.32', '1.17']
['23.99', '22.86', '1.12']
['72.07', '70.8', '1.27']
['20.1', '18.7', '1.4']
['30.54', '30.54', '0.00']
['18.41', '18.41', '0.00']
['35.9', '35.6', '0.3']
['53.91', '53.81', '0.10']
['61.47', '60.17', '1.30']
['48.82', '48.82', '274']
['189.4', '178.8', '10.7']
['112.2', '106.8', '5.4']
['18.1', '17.4', '0.7']
['48.154', '48.329', '175']
['28.77', '27.90', '0.87']
['18.02', '17.55', '0.48']
['43.9', '0.1', '884']
['7.13', '6.43', '0.70']
['85.8', '82.8', '3.1']
['47.84', '47.35', '0.49']
['78.25', '77.57', '0.68']
['44.2', '41.7', '2.5']
['49.6', '49.5', '0.2']
['39.12', '37.74', '1.38']
['33.64', '33.60', '0.04']
['66.38', '60.09', '6.28']
['15.81', '15.72', '0.08']
['76.6', '73.2', '3.5']
['35.0', '33.1', '1.9']
['55.4', '53.8', '1.7']
['24.40', '24.40', '0.00']
['54.38', '53.59', '0.79']
['14.5', '13.8', '0.8']
['57.69', '55.13', '2.56']
['47.91', '33.20', '14.71']
['29.69', '29.55', '0.15']
['23.43', '23.20', '0.23']
['43.52', '43.41', '0.11']
['9.09', '9.07', '0.03']
['38.5', '37.6', '0.9']
['24.25', '24.24', '0.01']
['23.42', '22.78', '0.64']
['47.92', '47.79', '0.12']
['29.79', '29.72', '0.06']
['35.74', '34.90', '0.83']
['53.0', '51.3', '1.7']
['9.75', '9.71', '0.04']
['55.76', '45.48', '10.28']
['35.9', '35.8', '0.2']
['17.39', '17.35', '0.04']
['27.1', '201']
['76.6', '76.5', '0.2']
['65.08', '62.95', '2.13']
['18.68', '18.68', '0.00']
['28.2', '28.2', '0.04']
['24.507', '23.213', '1.294']
['27.99', '27.91', '0.09']
********TOTAL TIME TAKEN********  135.66968894004822  seconds
